订单ID	用户ID	国家	省份	城市	区县	订单金额
339524	167587	1	2	52	502	169
339525	91648	1	31	390	3296	890
339526	172106	1	6	77	706	138
339527	225646	1	5	62	605	34
339528	209072	1	30	374	3161	129
339529	183501	1	11	151	1292	108
339530	20584	1	17	233	1969	71
339531	55928	1	31	393	3320	40
339532	9278	1	23	300	2475	60
339533	6377	1	14	197	1648	63
339534	110546	1	2	52	503	888
339535	157224	1	3	49	482	154
339536	142944	1	6	76	700	245
339537	70962	1	17	239	2028	82
339538	158510	1	16	223	1879	760
339539	7315	1	23	300	2473	341
339540	82879	1	30	367	3102	77
339541	171323	1	31	388	3286	269
339542	33785	1	4	56	549	305
339543	230833	1	15	211	1772	182
339544	32748	1	26	323	2753	50
339545	3460	1	10	138	1081	136
339546	33050	1	31	391	3307	77
339547	29139	1	24	311	2599	72
339548	83785	1	4	53	518	4206
339549	209814	1	32	394	3335	238
339550	231760	1	18	246	2086	24
339551	124568	1	22	288	2377	469
339552	76560	1	4	58	563	195
339553	172333	1	10	139	1126	112
339554	216581	1	31	386	3265	59
339555	230361	1	4	60	587	216
339556	204919	1	6	79	738	113
339557	199516	1	26	327	2786	34
339558	116663	1	15	211	1782	109
339559	67528	1	15	219	1826	209
339560	231805	1	26	325	2775	947
339561	231832	1	14	197	1647	228
339562	163795	1	6	76	695	1002
339563	154127	1	11	149	1251	98
339564	221191	1	8	111	962	132
339565	229211	1	6	79	718	309
339566	8987	1	26	331	2823	176
339567	133218	1	6	76	701	81
339568	1850	1	7	97	854	73
339569	92531	1	10	138	1091	133
339570	80980	1	16	220	1844	30
339571	171729	1	22	297	2448	536
339572	222740	1	22	295	2432	90
339573	108512	1	26	322	2723	72
339574	135253	1	31	388	3279	66
339575	20434	1	26	322	2731	210
339576	121650	1	4	53	522	31
339577	96791	1	18	245	2076	679
339578	20091	1	26	322	2726	60
339579	59917	1	6	76	701	320
339580	135253	1	31	388	3279	71
339581	89669	1	29	366	3078	808
339582	224690	1	17	234	1976	89
339583	171640	1	14	197	1651	153
339584	28578	1	16	222	1878	61
339585	201540	1	27	343	2918	41
339586	108512	1	26	322	2723	72
339587	112457	1	24	320	2691	96
339588	26070	1	29	366	3080	60
339589	223774	1	17	234	1979	170
339590	23990	1	6	76	696	53
339591	22775	1	31	391	3305	125
339592	168491	1	13	186	1590	42
339593	177308	1	32	394	3340	50
339594	125133	1	11	166	1411	115
339595	91336	1	6	76	693	50
339596	143426	1	3	36	401	124
339597	172700	1	14	206	1734	90
339598	32748	1	25	321	2714	50
339599	123359	1	31	386	3266	123
339600	100649	1	17	233	1958	72
339601	231988	1	6	76	697	100
339602	161017	1	25	321	2715	245
339603	230361	1	4	60	587	265
339604	32748	1	22	294	2425	50
339605	195106	1	20	270	2264	59
339606	188401	1	26	341	2900	92
339607	112199	1	17	236	2006	81
339608	195106	1	20	270	2264	45
339609	82657	1	24	311	2603	240
339610	192244	1	17	234	1970	739
339611	136332	1	31	391	3305	140
339612	223605	1	13	180	1544	98
339613	161599	1	11	155	1308	113
339614	120836	1	16	222	1873	182
339615	143042	1	16	221	1855	33
339616	140172	1	26	322	2745	392
339617	227125	1	22	298	2459	87
339618	63369	1	10	146	1203	176
339619	223605	1	13	180	1549	98
339620	99521	1	31	387	3273	69
339621	32748	1	10	138	1082	50
339622	83505	1	14	197	1650	172
339623	37642	1	3	3401	3402	411
339624	223945	1	6	95	3412	21
339625	85497	1	4	58	568	600
339626	168751	1	6	96	850	585
339627	63369	1	10	146	1203	39
339628	223945	1	6	95	3412	10
339629	489	1	4	53	518	117
339630	35235	1	6	77	708	104
339631	8645	1	6	76	697	134
339632	196015	1	32	394	3339	453
339633	229920	1	16	224	1893	156
339634	69113	1	25	321	2709	140
339635	63548	1	21	275	2291	233
339636	182167	1	11	159	1355	140
339637	63548	1	21	275	2291	113
339638	144255	1	22	296	2438	125
339639	58173	1	4	58	567	102
339640	230521	1	2	52	515	60
339641	101727	1	2	52	510	56
339642	102770	1	14	197	1650	352
339643	80964	1	13	180	1545	116
339644	39274	1	3	3401	3405	153
339645	24346	1	16	222	1875	41
339646	231646	1	17	235	1982	2762
339647	88510	1	26	341	2899	71
339648	168491	1	6	79	732	42
339649	227473	1	13	185	1582	242
339650	100192	1	10	138	1082	66
339651	1303	1	6	77	709	134
339652	231988	1	6	76	697	157
339653	81110	1	18	257	2158	81
339654	39786	1	6	82	757	393
339655	59312	1	6	76	696	207
339656	129632	1	22	292	2414	61
339657	112382	1	14	207	1740	202
339658	172412	1	16	222	1878	180
339659	27137	1	31	385	3250	634
339660	57424	1	11	149	1263	37
339661	155016	1	31	388	3279	216
339662	164335	1	31	383	3240	158
339663	19158	1	14	203	1705	64
339664	120819	1	17	238	2016	70
339665	216224	1	16	220	1843	687
339666	182895	1	31	386	3255	50
339667	96819	1	4	61	597	37
339668	210820	1	10	144	1186	71
339669	165267	1	4	56	548	69
339670	98885	1	16	226	1902	53
339671	229590	1	30	367	3102	1254
339672	36867	1	11	165	1404	29
339673	129166	1	10	139	1108	119
339674	218626	1	31	384	3243	2020
339675	153414	1	31	386	3409	109
339676	120466	1	6	95	847	71
339677	74694	1	4	61	594	81
339678	81662	1	16	221	1868	181
339679	114747	1	29	351	3004	4237
339680	151283	1	11	160	1367	102
339681	62107	1	14	197	1650	570
339682	69579	1	13	189	1595	18
339683	150123	1	8	111	962	96
339684	221716	1	31	388	3280	137
339685	227428	1	23	300	2474	66
339686	187699	1	16	222	1878	258
339687	74775	1	14	197	1651	152
339688	170119	1	14	199	1669	195
339689	118763	1	32	394	3335	71
339690	226949	1	4	54	531	368
339691	6391	1	26	337	2875	468
339692	207470	1	16	224	1889	460
339693	67138	1	31	383	3235	142
339694	230013	1	6	76	695	60
339695	154547	1	32	394	3349	53
339696	10991	1	18	253	2132	352
339697	96059	1	11	159	1353	1015
339698	36931	1	6	76	695	60
339699	224614	1	24	320	2692	159
339700	25270	1	7	97	854	235
339701	148505	1	14	204	1712	228
339702	21985	1	11	155	1316	498
339703	182792	1	31	387	3270	139
339704	194464	1	17	236	2008	66
339705	222728	1	24	311	2597	45
339706	96059	1	11	159	1353	464
339707	206373	1	25	321	2712	353
339708	63438	1	2	52	503	118
339709	49742	1	16	229	1923	490
339710	225522	1	6	78	712	64
339711	39072	1	27	343	2913	66
339712	27325	1	4	58	563	42
339713	92174	1	19	268	2251	77
339714	63438	1	31	387	3272	56
339715	40006	1	10	146	1205	48
339716	98885	1	16	226	1902	248
339717	81110	1	18	257	2158	81
339718	81110	1	18	257	2158	136
339719	118234	1	30	376	3169	69
339720	46165	1	22	283	2336	343
339721	206529	1	22	299	2465	564
339722	150371	1	11	165	1406	35
339723	63438	1	11	160	1359	30
339724	224471	1	13	186	1589	464
339725	1833	1	26	327	2786	193
339726	63438	1	14	197	1654	49
339727	201976	1	22	298	2462	77
339728	877	1	14	207	1735	213
339729	161438	1	6	88	800	617
339730	87199	1	11	150	1282	190
339731	128002	1	10	138	1080	278
339732	72123	1	26	322	2724	299
339733	132735	1	13	180	1550	262
339734	68765	1	14	210	1763	62
339735	63438	1	31	388	3285	40
339736	114423	1	16	220	1844	182
339737	232060	1	2	52	500	79
339738	36810	1	4	61	595	259
339739	44753	1	25	321	2715	70
339740	227218	1	16	221	1855	234
339741	213827	1	16	221	1869	416
339742	55851	1	4	60	591	204
339743	230832	1	2	52	500	119
339744	70674	1	14	210	1762	66
339745	206714	1	14	197	1647	147
339746	183633	1	12	167	1426	45
339747	82789	1	14	197	1647	54
339748	174063	1	2	52	501	146
339749	46780	1	6	95	3414	45
339750	185942	1	6	80	747	273
339751	61895	1	16	223	1884	197
339752	91336	1	6	76	693	50
339753	18038	1	24	316	2649	70
339754	108556	1	6	76	695	50
339755	52879	1	13	180	1546	63
339756	154026	1	13	180	1544	409
339757	205578	1	6	88	799	118
339758	150371	1	11	165	1406	35
339759	207549	1	6	76	703	118
339760	229085	1	8	111	964	2423
339761	232089	1	7	97	860	88
339762	36606	1	16	222	1874	102
339763	92735	1	18	252	2125	113
339764	155254	1	31	385	3248	157
339765	231797	1	13	187	1591	137
339766	181110	1	13	180	1554	102
339767	31846	1	7	101	899	50
339768	231978	1	17	233	1960	247
339769	21985	1	11	155	1316	79
339770	231425	1	17	233	1959	474
339771	89591	1	22	288	2379	42
339772	174729	1	4	60	590	124
339773	69071	1	17	235	1993	319
339774	180415	1	17	238	2016	688
339775	224471	1	13	186	1589	101
339776	24544	1	32	394	3345	77
339777	118258	1	2	52	506	94
339778	44753	1	14	210	1761	58
339779	3485	1	26	333	2850	153
339780	174729	1	4	60	590	153
339781	44753	1	14	210	1761	58
339782	40622	1	2	52	502	218
339783	126598	1	16	232	1955	87
339784	33336	1	31	391	3308	91
339785	227319	1	2	52	502	257
339786	141006	1	29	351	3010	174
339787	111704	1	10	140	1130	92
339788	229370	1	6	93	835	234
339789	228443	1	14	202	1693	142
339790	9726	1	15	218	1819	142
339791	218971	1	16	225	1899	208
339792	200987	1	16	220	1843	595
339793	192977	1	16	221	1868	29
339794	3289	1	6	76	700	763
339795	44753	1	14	200	1673	123
339796	224631	1	16	229	1933	168
339797	134588	1	6	84	770	275
339798	134588	1	6	84	770	275
339799	99383	1	32	394	3340	146
339800	69884	1	31	390	3298	113
339801	222294	1	22	284	2344	402
339802	138410	1	7	102	905	106
339803	59923	1	10	139	1109	236
339804	61734	1	6	76	696	102
339805	231965	1	6	80	747	71
339806	207770	1	10	139	1108	199
339807	73412	1	24	311	2596	92
339808	204623	1	18	257	2158	130
339809	6494	1	32	394	3338	512
339810	187731	1	31	386	3265	373
339811	105656	1	15	212	1785	45
339812	138380	1	26	333	2849	119
339813	46136	1	31	383	3236	171
339814	74447	1	6	76	699	140
339815	25443	1	3	3401	3402	326
339816	39917	1	14	206	1734	87
339817	142960	1	6	79	737	71
339818	6183	1	12	167	1415	169
339819	174826	1	4	56	549	146
339820	198782	1	14	210	1763	710
339821	185603	1	32	394	3338	567
339822	155029	1	17	233	1962	29
339823	165267	1	4	56	548	610
339824	48915	1	18	244	2063	655
339825	132446	1	6	76	696	50
339826	144448	1	6	77	705	1956
339827	132446	1	13	192	1607	50
339828	112611	1	3	37	411	44
339829	108886	1	6	77	706	242
339830	33679	1	7	110	956	234
339831	195531	1	14	200	1670	71
339832	215044	1	31	391	3307	56
339833	104748	1	31	385	3252	70
339834	82727	1	16	227	1916	225
339835	175611	1	2	52	501	835
339836	14726	1	8	111	968	111
339837	2360	1	4	61	593	50
339838	68924	1	16	220	1839	141
339839	62993	1	14	197	1647	55
339840	97908	1	31	383	3234	219
339841	124712	1	10	139	1104	963
339842	225	1	31	390	3299	618
339843	134032	1	6	77	705	389
339844	182374	1	10	148	1243	101
339845	114345	1	22	295	2432	75
339846	185034	1	23	305	2527	1069
339847	32360	1	13	193	1611	34
339848	145440	1	6	76	696	73
339849	58379	1	31	383	3236	570
339850	137741	1	6	83	765	92
339851	227289	1	16	229	1933	173
339852	141024	1	26	326	2784	72
339853	42932	1	6	84	772	100
339854	195710	1	6	76	696	72
339855	53495	1	14	197	1656	118
339856	67478	1	2	52	513	66
339857	192886	1	24	311	2596	62
339858	216661	1	8	111	968	20
339859	228107	1	11	159	1354	115
339860	458	1	7	109	953	948
339861	44100	1	6	76	695	75
339862	16579	1	6	92	823	205
339863	82573	1	3	3401	3408	71
339864	205039	1	2	52	515	143
339865	227805	1	31	383	3239	394
339866	142997	1	17	233	1969	133
339867	101487	1	10	138	1082	54
339868	129924	1	32	394	3339	60
339869	105071	1	16	231	1947	66
339870	148054	1	18	256	2149	504
339871	33998	1	11	149	1251	67
339872	210509	1	10	138	1085	61
339873	105071	1	16	231	1945	100
339874	232153	1	6	79	716	91
339875	144020	1	22	284	2346	113
339876	148054	1	18	256	2149	94
339877	205578	1	6	88	799	129
339878	31344	1	6	77	709	381
339879	140968	1	16	220	1835	202
339880	91825	1	31	390	3302	116
339881	86688	1	7	109	953	129
339882	206643	1	16	229	1923	643
339883	232153	1	6	79	716	158
339884	97129	1	13	195	1633	114
339885	226407	1	6	76	695	42
339886	393	1	4	60	587	25
339887	63438	1	6	84	773	71
339888	104079	1	25	321	2716	259
339889	210629	1	22	289	2386	544
339890	71166	1	2	52	503	41
339891	113458	1	26	322	2725	91
339892	223484	1	3	41	444	83
339893	36160	1	16	220	1835	87
339894	62342	1	24	317	2653	81
339895	17806	1	11	149	1253	180
339896	102699	1	31	388	3284	377
339897	153981	1	2	52	511	52
339898	232153	1	6	79	716	71
339899	131839	1	9	121	0	471
339900	89591	1	22	288	2379	139
339901	232184	1	25	321	2707	105
339902	12994	1	6	90	810	328
339903	69898	1	31	383	3235	36
339904	185247	1	4	53	523	126
339905	15010	1	11	164	1399	63
339906	105960	1	16	232	1953	595
339907	151262	1	6	76	696	169
339908	72644	1	6	76	696	127
339909	193499	1	6	77	705	179
339910	91444	1	17	240	2037	117
339911	8369	1	18	244	2068	60
339912	69488	1	24	311	2599	91
339913	37309	1	2	52	500	608
339914	163293	1	10	139	1109	56
339915	108696	1	13	193	1611	111
339916	205578	1	6	88	799	91
339917	209327	1	6	76	696	92
339918	231968	1	4	55	542	119
339919	155496	1	11	149	1253	50
339920	222283	1	8	119	1038	116
339921	19185	1	22	292	2408	728
339922	68154	1	10	146	1209	70
339923	31344	1	6	77	709	1654
339924	120771	1	14	209	1756	45
339925	93310	1	26	328	2792	74
339926	58173	1	4	58	567	132
339927	41895	1	5	66	633	87
339928	2266	1	22	295	2432	275
339929	231901	1	4	53	519	60
339930	66077	1	30	378	3190	50
339931	104976	1	26	331	2823	158
339932	21660	1	6	77	708	174
339933	225909	1	16	222	1877	102
339934	120819	1	17	238	2016	66
339935	172447	1	32	394	3333	320
339936	6866	1	31	389	3290	85
339937	196419	1	22	289	2392	273
339938	73790	1	8	111	962	252
339939	180957	1	11	152	1294	267
339940	187975	1	4	60	589	71
339941	3460	1	31	385	3250	50
339942	168671	1	4	59	582	45
339943	156212	1	14	210	1768	37
339944	153057	1	14	205	1726	40
339945	99383	1	32	394	3351	49
339946	188717	1	14	201	1686	130
339947	180124	1	14	197	1654	166
339948	207677	1	31	386	3266	939
339949	140538	1	6	76	696	317
339950	94681	1	11	150	1282	151
339951	33612	1	6	87	789	349
339952	166617	1	4	57	561	1153
339953	229216	1	22	292	2408	448
339954	1709	1	14	198	1659	904
339955	224210	1	3	43	453	284
339956	104976	1	26	331	2823	79
339957	232127	1	14	197	1648	1531
339958	230365	1	25	321	2704	184
339959	124049	1	17	240	2041	150
339960	232198	1	31	383	3231	348
339961	216743	1	16	229	1923	35
339962	209242	1	10	139	1105	139
339963	132098	1	3	51	499	111
339964	186391	1	26	325	2777	1724
339965	215327	1	16	220	1842	109
339966	182868	1	22	291	2400	127
339967	232136	1	6	81	753	735
339968	170913	1	13	186	1587	214
339969	77205	1	18	248	2101	51
339970	25950	1	32	394	3339	120
339971	146481	1	22	284	2346	132
339972	81865	1	31	383	3235	128
339973	132215	1	22	283	2333	208
339974	25978	1	2	52	501	121
339976	34319	1	6	85	778	66
339977	37432	1	18	256	2152	195
339979	189163	1	31	392	3316	70
339980	135927	1	25	321	2715	72
339981	212943	1	6	77	706	491
339982	217639	1	9	120	1054	45
339983	140538	1	6	76	696	179
339984	229696	1	25	321	2706	55
339985	134757	1	7	109	955	165
339986	189568	1	31	383	3235	684
339987	173233	1	6	88	798	287
339988	95558	1	26	322	2730	294
339989	171086	1	6	77	705	84
339990	67078	1	14	210	1761	81
339991	30117	1	6	79	735	682
339992	74814	1	14	208	1751	115
339993	209234	1	6	95	3412	158
339994	232224	1	27	343	2928	25
339995	212943	1	6	77	706	374
339996	26483	1	26	336	2869	100
339997	187778	1	7	109	952	45
339998	143781	1	6	76	700	2075
339999	105601	1	14	200	1674	92
340000	188717	1	14	201	1686	72
340001	218600	1	26	322	2746	738
340002	95289	1	14	201	1686	93
340003	69113	1	25	321	2709	78
340004	142944	1	6	76	700	179
340005	128101	1	14	199	1661	62
340006	124049	1	17	240	2041	206
340007	161637	1	32	394	3339	81
340008	220369	1	26	322	2733	158
340009	168197	1	14	197	1647	66
340010	110254	1	11	163	1390	53
340011	185761	1	29	359	3053	747
340012	22723	1	12	173	1474	171
340013	189568	1	31	383	3235	482
340014	218861	1	25	321	2707	393
340015	12351	1	6	76	700	138
340016	76560	1	4	58	563	115
340017	192205	1	10	138	1078	90
340018	222117	1	26	323	2755	284
340019	189163	1	14	209	1752	92
340020	14673	1	17	242	2047	109
340021	193680	1	6	76	693	198
340022	22723	1	12	173	1474	153
340023	207752	1	26	322	2749	147
340024	130852	1	26	334	2858	268
340025	66252	1	14	200	1671	735
340026	1709	1	14	198	1659	435
340027	232226	1	14	197	1651	200
340028	132603	1	6	88	803	189
340029	173379	1	6	76	693	275
340030	206154	1	6	76	693	114
340031	98741	1	13	180	1555	159
340032	83348	1	18	244	2062	179
340033	232128	1	31	386	3255	26
340034	130506	1	26	322	2748	152
340035	149452	1	11	162	1378	1782
340036	217403	1	4	53	530	159
340037	207049	1	25	321	2705	44
340038	129355	1	31	383	3240	45
340039	32748	1	10	138	1078	39
340040	19946	1	6	95	844	132
340041	78093	1	4	57	558	492
340042	1765	1	27	343	2922	515
340043	204649	1	32	394	3335	88
340044	158510	1	16	223	1879	508
340045	74814	1	14	208	1751	133
340046	232187	1	14	197	1654	65
340047	60645	1	16	220	1842	81
340048	12719	1	29	366	3076	1120
340049	136451	1	32	394	3330	190
340050	165175	1	13	194	1619	60
340051	91753	1	16	221	1849	250
340052	232245	1	22	297	2457	213
340053	232257	1	31	389	3292	50
340054	207379	1	6	77	709	111
340055	66970	1	25	321	2706	79
340056	42275	1	18	254	2144	179
340057	88548	1	14	202	1701	107
340058	232261	1	26	323	2755	69
340059	215889	1	4	61	597	221
340060	48908	1	31	384	3244	551
340061	37702	1	14	208	1742	321
340062	50206	1	8	111	965	91
340063	6195	1	6	76	696	83
340064	75430	1	14	203	1706	73
340065	66658	1	14	197	1648	134
340066	201433	1	6	76	697	163
340067	232246	1	14	197	1654	71
340068	183435	1	11	149	1251	50
340069	230551	1	17	238	2018	119
340070	118234	1	30	376	3169	69
340071	201433	1	6	76	697	162
340072	144415	1	12	168	1437	52
340073	207379	1	6	77	709	111
340074	44009	1	6	76	697	136
340075	109977	1	7	102	905	226
340076	61278	1	6	82	761	165
340077	46786	1	18	245	2077	50
340078	160393	1	17	242	2050	36
340079	110003	1	6	76	696	142
340080	57768	1	13	181	1558	174
340081	81911	1	30	372	3140	165
340082	9195	1	6	76	695	53
340083	98017	1	17	242	2050	36
340084	64077	1	6	80	747	43
340085	209010	1	22	288	2382	635
340086	53827	1	31	390	3299	310
340087	9930	1	12	173	1469	190
340088	2381	1	26	341	2902	186
340089	98017	1	17	242	2050	56
340090	207049	1	25	321	2705	44
340091	153386	1	18	257	2156	134
340092	62622	1	6	77	705	63
340093	76036	1	16	223	1879	161
340094	48856	1	25	321	2710	227
340095	232277	1	17	235	1981	216
340096	204649	1	32	394	3335	93
340097	62622	1	6	77	705	63
340098	754	1	6	88	801	1129
340099	224566	1	16	232	1955	156
340100	85497	1	4	58	568	725
340101	106061	1	31	383	3236	91
340102	68484	1	31	393	3320	398
340103	30763	1	6	80	748	425
340104	152411	1	30	379	3199	132
340105	191978	1	14	197	1649	123
340106	230608	1	21	280	2320	142
340107	2076	1	6	88	801	396
340108	183559	1	22	284	2349	871
340109	53827	1	31	390	3299	163
340110	210290	1	13	180	1551	93
340111	77453	1	6	79	734	111
340112	32403	1	6	76	700	294
340113	229890	1	6	76	698	96
340114	83579	1	11	160	1356	54
340115	52746	1	16	230	1944	1595
340116	75015	1	14	201	1684	164
340117	217325	1	14	209	1758	53
340118	215470	1	17	235	1981	2143
340119	50919	1	22	286	2368	243
340120	190995	1	6	79	745	119
340121	232271	1	26	322	2725	376
340122	73056	1	29	357	3042	216
340123	201908	1	26	322	2726	551
340124	231297	1	6	76	701	24
340125	232264	1	24	311	2604	84
340126	69788	1	6	76	698	50
340127	176502	1	14	197	1648	102
340128	217325	1	14	209	1758	33
340129	220883	1	6	85	780	114
340130	215117	1	2	52	506	81
340131	204649	1	32	394	3335	108
340132	51909	1	6	76	693	264
340133	152013	1	31	390	3304	72
340134	195372	1	23	304	2517	222
340135	195710	1	6	76	696	206
340136	228570	1	17	235	1994	817
340137	131409	1	16	224	1891	64
340138	29700	1	3	3401	3403	302
340139	15171	1	4	60	587	60
340140	95977	1	6	77	708	112
340141	161573	1	24	318	2664	114
340142	207677	1	31	386	3266	533
340143	225292	1	14	197	1648	632
340144	92836	1	30	367	3103	58
340145	231511	1	14	210	1764	73
340146	42448	1	6	95	845	234
340147	66340	1	18	249	2106	91
340148	32748	1	10	138	1078	50
340149	29	1	6	86	782	674
340150	94417	1	17	234	1979	951
340151	232317	1	16	221	1856	45
340152	133696	1	9	133	0	127
340153	187665	1	11	162	1380	1012
340154	230779	1	6	76	697	75
340155	175059	1	6	82	761	84
340156	85040	1	17	233	1958	690
340157	187224	1	16	229	1931	771
340158	227473	1	13	185	1582	184
340159	204351	1	24	318	2668	231
340160	30781	1	14	197	1655	346
340161	11595	1	22	299	2469	70
340162	169401	1	17	243	2057	42
340163	173233	1	6	88	798	163
340164	87134	1	3	37	413	73
340165	172049	1	16	225	1899	81
340166	31057	1	17	237	2013	227
340167	131839	1	9	121	0	730
340168	103604	1	6	76	698	122
340169	206373	1	25	321	2712	195
340170	114941	1	13	194	1619	81
340171	66340	1	18	249	2106	107
340172	39582	1	3	3401	3405	45
340173	145444	1	31	393	3324	117
340174	121039	1	15	219	1826	77
340175	19451	1	6	84	770	39
340176	232254	1	31	383	3239	213
340177	199791	1	25	321	2707	365
340178	21548	1	8	119	1038	40
340179	39072	1	27	343	2913	34
340180	111845	1	14	210	1761	235
340181	28658	1	26	322	2729	215
340182	72651	1	6	76	693	185
340183	205843	1	31	388	3284	552
340184	159863	1	22	291	2400	905
340185	230762	1	13	186	1583	75
340186	110302	1	4	57	561	955
340187	138010	1	6	87	789	305
340188	232348	1	6	80	748	60
340189	33969	1	13	180	1554	116
340190	29962	1	14	203	1705	1115
340191	176201	1	3	41	437	483
340192	19187	1	31	388	3280	157
340193	143785	1	23	300	2474	66
340194	143785	1	23	300	2475	81
340195	215364	1	11	156	1318	108
340196	1833	1	26	327	2786	51
340197	15837	1	4	56	551	159
340198	39072	1	27	343	2913	71
340199	194611	1	22	283	2336	50
340200	232358	1	22	292	2409	94
340201	58326	1	30	367	3100	492
340202	226776	1	15	219	1826	664
340203	90743	1	13	191	1603	171
340204	5236	1	14	197	1647	168
340205	69706	1	14	197	1650	81
340206	221756	1	4	53	525	570
340207	92972	1	14	202	1693	176
340208	232343	1	11	149	1253	86
340209	34322	1	31	390	3300	332
340210	214734	1	14	210	1763	147
340211	205336	1	14	197	1648	50
340212	224862	1	19	258	2167	25
340213	118647	1	16	225	1900	50
340214	21717	1	6	77	708	109
340215	458	1	7	109	953	123
340216	118990	1	26	331	2823	78
340217	38568	1	31	383	3232	37
340218	24077	1	27	343	2922	60
340219	149139	1	6	76	698	81
340220	108741	1	6	80	746	50
340221	224875	1	22	292	2408	156
340222	169429	1	25	321	2716	121
340223	17495	1	6	76	698	39
340224	41798	1	21	275	2289	532
340225	113841	1	3	41	437	225
340226	157822	1	31	386	3409	72
340227	24756	1	15	211	1770	122
340228	59429	1	14	197	1652	684
340229	93108	1	16	221	1856	292
340230	133592	1	14	197	1650	78
340231	173128	1	6	77	706	114
340232	133277	1	12	167	1429	791
340233	159863	1	22	291	2400	125
340234	31344	1	6	77	709	1702
340235	75837	1	18	250	2113	336
340236	195372	1	23	304	2517	121
340237	16605	1	14	205	1722	418
340238	99383	1	30	370	3128	126
340239	43985	1	11	156	1319	225
340240	61152	1	24	320	2692	51
340241	119826	1	11	152	1293	20
340242	74638	1	14	202	1701	50
340243	201191	1	27	343	2923	235
340244	216887	1	13	180	1554	31
340245	150367	1	11	165	1405	183
340246	105960	1	16	232	1953	1473
340247	216145	1	11	166	1409	211
340248	51314	1	19	262	2195	126
340249	116552	1	31	388	3284	132
340250	160394	1	4	58	568	81
340251	189091	1	18	245	2082	25
340252	778	1	26	342	2911	474
340253	101322	1	17	242	2048	164
340254	195372	1	23	304	2517	94
340255	152676	1	3	47	473	44
340256	229831	1	4	53	518	168
340257	36636	1	28	344	2931	200
340258	47809	1	16	222	1877	197
340259	113841	1	3	41	437	225
340260	193618	1	10	138	1079	56
340261	163352	1	4	58	563	826
340262	218941	1	31	386	3265	117
340263	66065	1	6	78	712	170
340264	227137	1	4	55	545	1675
340265	191132	1	18	253	2132	66
340266	160553	1	13	180	1554	155
340267	109834	1	4	61	597	232
340268	226567	1	6	83	763	110
340269	754	1	6	88	801	66
340270	232377	1	22	284	2344	43
340271	207795	1	14	197	1648	57
340272	186646	1	17	233	1968	1501
340273	146764	1	26	322	2725	1149
340274	133329	1	32	394	3335	92
340275	148078	1	16	221	1848	659
340276	222878	1	17	240	2037	20
340277	93081	1	16	223	1886	339
340278	109834	1	4	61	597	151
340279	114310	1	14	197	1647	88
340280	167168	1	4	53	519	62
340281	215364	1	11	156	1318	35
340282	778	1	26	342	2911	66
340283	164532	1	26	322	2725	54
340284	230162	1	6	77	708	409
340285	66461	1	26	322	2730	202
340286	168432	1	11	159	1347	111
340287	198653	1	22	292	2410	61
340288	102770	1	14	197	1650	2466
340289	19552	1	3	3401	3405	430
340290	168432	1	11	159	1347	153
340291	169763	1	14	201	1684	44
340292	96227	1	23	300	2478	398
340293	14995	1	14	197	1653	184
340294	95186	1	31	388	3280	168
340295	43115	1	14	201	1686	39
340296	214506	1	31	388	3283	197
340297	165180	1	18	244	2064	468
340298	18388	1	8	115	1003	151
340299	205781	1	14	203	1709	172
340300	80407	1	14	200	1670	123
340301	217325	1	14	209	1758	195
340302	181394	1	6	76	698	195
340303	20608	1	18	255	2145	56
340304	207933	1	26	331	2823	255
340305	98537	1	31	385	3253	165
340306	202785	1	10	147	1215	897
340307	125132	1	22	292	2409	376
340308	95707	1	10	144	1187	91
340309	73578	1	25	321	2715	780
340310	32748	1	26	338	2877	50
340311	101371	1	6	77	705	165
340312	84585	1	31	387	3270	753
340313	15204	1	16	224	1894	81
340314	1830	1	27	343	2921	490
340315	35329	1	11	149	1255	396
340316	215277	1	23	300	2475	3527
340317	232329	1	16	221	1868	281
340318	179902	1	6	80	747	80
340319	153418	1	26	322	2743	238
340320	192244	1	17	234	1970	170
340321	118647	1	6	76	696	78
340322	36735	1	16	221	1851	62
340323	144536	1	31	383	3232	96
340324	222688	1	17	233	1958	35
340325	152439	1	32	394	3355	73
340326	41005	1	18	245	2079	1245
340327	3552	1	31	386	3265	86
340328	47901	1	28	344	2936	41
340329	120695	1	11	163	1392	222
340330	141197	1	2	52	506	166
340331	18049	1	14	197	1651	56
340332	61749	1	31	388	3288	223
340333	169664	1	18	245	2077	244
340334	66970	1	14	197	1650	158
340335	47898	1	13	180	1557	40
340336	118087	1	16	221	1857	1727
340337	45249	1	27	343	2926	67
340338	222878	1	17	240	2037	40
340339	105071	1	16	231	1951	321
340340	83758	1	6	82	757	175
340341	223626	1	18	244	2061	71
340342	209870	1	31	383	3235	224
340343	93986	1	26	322	2725	113
340344	225350	1	13	180	1550	169
340345	29117	1	13	182	1559	485
340346	192242	1	17	237	2012	165
340347	104691	1	6	76	693	179
340348	183036	1	16	222	1875	1045
340349	232438	1	18	244	2061	65
340350	31344	1	6	77	709	187
340351	37314	1	12	167	1419	35
340352	99099	1	11	157	1337	130
340353	232322	1	11	162	1380	66
340354	232322	1	11	162	1380	153
340355	104691	1	6	76	693	560
340356	104691	1	6	76	693	509
340357	162150	1	4	58	568	148
340358	27796	1	26	337	2872	109
340359	2076	1	6	88	801	106
